mse,abs_median,abs_mean,abs_std,sqr_mean,sqr_med,sqr_std,div_max,div_min,div_avg,n
0.019960688823898128,80.7468835142308,73.03481757844693,28.393858603203615,95.07466409155668,97.99218774329424,8.30272425837628,-0.3419543897860092,-0.3483829936209799,0.3456270028420046,1
0.012864564447543733,85.02291073992426,79.50012479924504,22.180897959129545,96.93568998138352,98.8308972178462,6.189272248218504,-0.28515189367216,-0.417531164157792,0.3421962480126601,2
0.006396895100744474,90.47417382432118,86.72176734991716,15.141696436049155,98.55046180434415,99.55426096075195,3.820484315268438,-0.28293505957501275,-0.4188432226751378,0.3415361755345148,3
0.004675603789379613,92.36350904924171,88.89370956707324,13.83613170117286,98.9232814869085,99.71137748169448,3.537116288031327,-0.2833495193383939,-0.419457854175197,0.3415528171688899,4
0.0032201055697559924,94.15913063358443,91.0602385393015,12.580963637037641,99.23668193855546,99.8284287119856,3.2346809803490366,-0.259564206233164,-0.44813313237027397,0.34040973658421825,5
0.003075459650379753,94.31885597817983,91.30013601930058,12.23376693097684,99.2739182503204,99.8381620551438,3.071315420016454,-0.24050435289876515,-0.46882850136206367,0.34173898843604644,6
0.0029308538253883963,94.4899817520905,91.53153615481416,11.876337372576911,99.30921484334648,99.8472180260409,2.961096828505686,-0.23759045279032254,-0.4649277499711575,0.3421548666355503,7
0.0027778948947920186,94.6620541249423,91.79490903928043,11.537323452709924,99.34601448400842,99.85688426699656,2.7617063277101948,-0.23720387205087068,-0.46947209618299235,0.34226358363369663,8
0.0026611490139191343,94.80368570129437,91.98581934378926,11.275030675897483,99.37373299616557,99.86445708815424,2.6359156126540846,-0.23880932940131672,-0.46932855045487587,0.3422339460014355,9
0.002560299672037285,95.09168090923347,92.2252338706531,11.218174793729897,99.39518788820453,99.87862155020096,2.6483645348529428,-0.23688602705473727,-0.47171501103639724,0.34200747230835743,10
0.0024400188786642307,95.41156285014642,92.50584181429134,11.059455901401488,99.42325485118596,99.89378797799225,2.6032765194734737,-0.21510077061998922,-0.4842883732398233,0.34241715806473505,11
0.0023238305700230425,95.46030771723541,92.64622083588112,10.688072293685668,99.4525418218794,99.89605538439613,2.4254391367751227,-0.20134402044838806,-0.5264269082015002,0.34069139399452036,12
0.002246980831874651,95.48652839302147,92.74077396669965,10.41687281951786,99.47192778082135,99.89732163635841,2.268811142804597,-0.1840168696414648,-0.5446283123179402,0.34023394512668775,13
0.002193818688459467,95.52256554905327,92.82693393341758,10.227987463930202,99.48604220274981,99.89881978081073,2.210923291483822,-0.19997749366957684,-0.5626724143536255,0.34013410908441527,14
0.0021194201093023154,95.55589728230566,92.91943899463526,9.721893299994363,99.50803677993393,99.90016688876489,1.767366264894898,-0.07722590162587117,-0.5594992220680819,0.3402582511585112,15
0.0020486892986934175,95.58328497060064,93.00993237951386,9.418678436180047,99.52607347663707,99.90152346292996,1.6146084196078196,-0.0694419334643408,-0.5566167653682874,0.34032474252787076,16
0.0019368335220460923,95.61723895227419,93.15822083470344,8.966517661167048,99.55520603736198,99.90322495323785,1.4030527697617527,0.019140193017231688,-0.7796507393485772,0.34280840247983346,17
0.0018836016269012034,95.71391402994288,93.27496772783905,8.786683410908429,99.56876485045687,99.90778936913294,1.3317412798413968,0.10049899500521686,-0.8615410141841764,0.3418941428681724,18
0.0018214786299074535,95.82192735984603,93.40066539858336,8.616803174887055,99.58371990658294,99.91230742065022,1.2854973370331702,0.07828963118519372,-0.8152934643469649,0.34508177820772884,19
0.001775147970530598,95.85894442448739,93.47556213170336,8.489922981001012,99.59450806104097,99.91395054360322,1.2446987247292562,0.15152380426763035,-1.0029874656622282,0.34592565191343555,20
0.0017312426807234288,95.88785823657176,93.5446843160043,8.347679040578537,99.60486326834638,99.91496646982154,1.203892226524439,-0.040105069334230414,-1.072429998892587,0.3529733184518608,21
0.0016961762992862737,95.9396850187812,93.61977390321874,8.241063701189432,99.6132579319171,99.91693880497662,1.1757485040654032,-0.04540138332219801,-1.0503187555260585,0.352749644849176,22
0.0016558221796385165,95.98340491106532,93.69354257044951,8.141656181003995,99.62234171858154,99.91889284771727,1.1513743491462252,-0.017687274237032646,-1.057256240090814,0.35275108391456167,23
0.001608814838139928,96.00644544162279,93.76459476806953,7.977480167879916,99.63373847117684,99.9198516321083,1.0954200170963524,-0.014635341499930732,-1.1206858259664996,0.3562911781595336,24
0.0015606078661901195,96.04984190140625,93.8411674020783,7.8099941151282914,99.64507123876821,99.92143993825717,1.0427585655479485,0.0384972756343096,-1.15099693442229,0.35556281950019214,25
0.0015234085450172214,96.09081348990186,93.9134307951416,7.704181175534097,99.65364237049896,99.92311273389174,1.015197436401956,0.02614748626660468,-1.1376396103867839,0.35479091671616325,26
0.0014907281523749505,96.12123148188272,93.97447567469509,7.592872594448821,99.66140701072638,99.92454755148012,0.9900375998951078,0.033315277753879435,-1.096917096025873,0.35443482980141466,27
0.0014560222786516317,96.16087609285475,94.0415630953301,7.499406734157434,99.66934933321615,99.92557137176144,0.966193865571707,0.03694018869695981,-1.0987227676103597,0.3546987655062165,28
0.0014152540519435624,96.21517510991785,94.12557950219681,7.37529230611249,99.67881127366904,99.92766296887879,0.9378064867552506,-0.04661241709275754,-1.2713840864600021,0.34894934449555903,29
0.0013814826182933096,96.24840088634824,94.18968217409005,7.274083449326126,99.68657647612703,99.92894464365021,0.9138802410625533,-0.051752140661344814,-1.2879518549053444,0.35085930094899953,30
