mse,abs_percentage_median,abs_percentage_mean,abs_percentage_std,div_max,div_min,div_avg,n
4.0775639262396636e-10,80.4509732295238,72.90672666014004,28.036947773329107,-0.3437302004585997,-0.35033338264551805,-0.3472968931314812,1
2.48650657932596e-10,84.93499402853351,79.58391407107085,21.760976384357278,-0.28540840030756054,-0.42308263459640527,-0.34788031639850275,2
3.690456034815075e-09,90.50236574304148,86.78640273388699,14.671843203938643,-0.2844935291118337,-0.4252652130311839,-0.34861182769196825,3
3.126761763083828e-09,92.56506865056934,89.12880191717855,13.36008364823523,-0.2845065905156713,-0.4252788449439777,-0.3486100341400287,4
9.408608344503504e-11,94.26840027039137,91.26559888564474,12.091603843455543,-0.25673583449803505,-0.4534243979831212,-0.34447586143758535,5
2.938172024018804e-11,94.42689790121912,91.50259446564114,11.737463966805143,-0.2242086821867656,-0.49683233762080925,-0.3410500871570459,6
3.05734135493783e-11,94.5745203188838,91.72755267297543,11.289880433159263,-0.21252430294746927,-0.5063476372682643,-0.3411045203596671,7
2.6906008625042438e-11,94.712974116775,91.9758366689039,10.88162039860395,-0.21295203493946535,-0.5066239566374201,-0.34116391450274713,8
3.358512495769057e-11,94.85187966393671,92.1758933551526,10.68158303042536,-0.2175150970593458,-0.5037630059298743,-0.34136040870204537,9
3.362454019044522e-11,95.17126463182734,92.45377112722475,10.550597490948958,-0.21544889288933078,-0.5009226561444413,-0.3413136374902572,10
3.4201135722291944e-11,95.51993451155525,92.75983283339473,10.407137479317475,-0.21679462507997727,-0.4807944487978202,-0.34118389054374076,11
3.303794909401002e-11,95.56440628419253,92.88753316950236,10.083308990569499,-0.2084261931673952,-0.48295105312324627,-0.3412825860322675,12
2.4354672097470376e-11,95.60708504138927,93.00636048712238,9.743357143913746,-0.2123395206501577,-0.4943867113540401,-0.34087982734752253,13
7.462869854656837e-13,95.63576508495645,93.09860916262244,9.517683886181288,-0.11952255105554621,-0.5489903894431718,-0.3363363843459728,14
7.821248204650217e-13,95.65858931394594,93.18036731965691,9.202931492232807,-0.08779394368227811,-0.5583680481751769,-0.3362795802877341,15
1.5515208435573256e-12,95.6884127981981,93.27865120492827,8.954162591565925,-0.0535183739524423,-0.5613957871605475,-0.3357456579441691,16
4.665766829983054e-14,95.7173763422258,93.36988429900356,8.753019135884694,-0.09022381888869657,-0.5638762945537463,-0.33709929247032533,17
8.754872206088622e-12,95.80711487481904,93.46188622373877,8.644695146188768,-0.09141683389550082,-0.6432607195192568,-0.3420286889453349,18
4.544207352515772e-12,95.91743356536253,93.59176421087075,8.372647761498051,-0.06286799457066083,-0.6310855690971897,-0.33899956340293513,19
4.825088417619031e-12,95.96108488320354,93.67351805031612,8.179224491718909,-0.05405680135903146,-0.8606105526692494,-0.3339832785149678,20
2.3038877220463602e-11,96.00770708616245,93.7433311387933,8.116993264725725,-0.056433256796335374,-0.8317637403466636,-0.3322994092714518,21
1.0541640232782067e-10,96.0407888667967,93.80725945081485,7.994315636572569,0.002479778162914781,-1.0023706186192505,-0.3290326110177172,22
2.7774320039407924e-10,96.08490233825916,93.89886120953402,7.844505916359469,-0.04300133825856911,-0.9762460735889786,-0.32466132618146903,23
2.3759228139662444e-10,96.11391759258083,93.97201311214775,7.6833353552169426,-0.05041723934791398,-0.9415714296172499,-0.32378492778974943,24
1.2748405809584662e-10,96.15399043922139,94.05602188413117,7.527016144482387,-0.00029417321411673303,-1.0032197328841717,-0.3302371941407472,25
1.0564144868335498e-10,96.20192694226726,94.12401817970277,7.431291490595825,0.030777691389800355,-1.0239807277983903,-0.3305753653362797,26
1.1646727844926077e-10,96.23642048870676,94.19786701569629,7.3305668240765085,0.031972394838645335,-1.0251997372383812,-0.3305054774702161,27
1.411216867709824e-10,96.28378133292111,94.2831130748815,7.1860655732376015,0.0470987405631621,-1.040942293685649,-0.3296602344497363,28
8.344413594204313e-11,96.32635901295555,94.34938631079093,7.098899184203346,0.018648175649465748,-1.068740728220817,-0.3316559386168814,29
8.24036562492905e-11,96.35663646555582,94.42123051559466,6.959077063969443,0.027713902898933607,-1.1492756804724547,-0.33183011469103607,30
5.97146749636439e-11,96.39685507001735,94.50106363303264,6.8121647899003515,0.015434244725642143,-1.124885050610278,-0.33258574929511636,31
6.206139486287033e-11,96.42996319134113,94.5653678086522,6.717305090075478,0.012695589517044192,-1.126437763589327,-0.3325307035529363,32
9.820386455445966e-11,96.48403574809933,94.6434617909208,6.626067717123091,0.012824729759018827,-1.1236822780725908,-0.3324536541381087,33
6.566111296601082e-11,96.52052945943598,94.71578478430399,6.502182154343073,0.02280365287912245,-1.1182134258412644,-0.33440768277348354,34
3.1891647161775286e-11,96.5585037464763,94.79338962772701,6.319168813494514,-0.00915381552438188,-1.1620091170423867,-0.33783102633017426,35
1.5135471471854655e-11,96.59279092837016,94.86258914105294,6.152828631948042,-0.0031237397767909236,-1.139489976696023,-0.3410963436481181,36
2.2070270769269803e-12,96.63199714294043,94.93337051311924,6.071618688251869,-0.007006246576102271,-1.171570413982185,-0.34295738467980313,37
1.2830780881564592e-12,96.66319686422881,95.00078992499458,5.971035663139416,-0.0034091761227071915,-1.1479651934254282,-0.3428332985282364,38
2.9842566910659766e-12,96.69575718768692,95.0515473825936,5.9149836518271846,0.012912870069770266,-1.1549853927134919,-0.3435282567359391,39
2.506568121332868e-12,96.73833747735722,95.12664989471268,5.792831560785142,-0.0069246173630908014,-1.1187489291029151,-0.3434468748519198,40
3.7553093287869735e-12,96.78676058763418,95.20911308941272,5.627148045178723,0.005637156884819916,-1.0905435601127333,-0.3444040671152094,41
7.346680527581648e-12,96.8158329191705,95.28858471334038,5.463689157024381,0.009951478971570782,-1.1107583697485324,-0.34508232677590156,42
5.5153515542405115e-12,96.84887372051949,95.34576775914184,5.3784653293186855,0.023163465787198856,-1.1273916763727936,-0.34321022999639006,43
1.1831145727562156e-11,96.90041831508799,95.43137685400919,5.2562054265478215,0.01846649763895336,-1.1368847625365173,-0.34380123164417925,44
3.536695057681114e-13,96.93403469024634,95.49521366936315,5.192046061261663,0.0235098422131087,-1.1456141813674514,-0.3450251913743109,45
6.836953232053624e-13,96.96974943855209,95.57184999782635,5.060567881221849,0.030792732255760957,-1.2408135735612924,-0.34581075677151313,46
1.433852352516737e-13,96.9890642601529,95.62945119029037,4.937584197212218,0.0259989553233706,-1.2317333848620318,-0.34393717597178963,47
4.405602347400964e-13,97.0300124509543,95.68535403144477,4.8721024618064845,0.01966835504385267,-1.2383079115722353,-0.3451520952526597,48
3.56571993696842e-12,97.07225935870869,95.7648820205649,4.756994395923587,0.01951853276826665,-1.2090713091082854,-0.34459606449534375,49
3.3966090844691746e-12,97.12264773758349,95.85117650044968,4.617673084574199,0.03293144100257983,-1.2592309592928608,-0.3483511451422271,50
4.214946164769043e-12,97.15762128631894,95.91255235903023,4.5379689449253755,0.02895056812208341,-1.253442629594442,-0.3485947112122382,51
3.849172277475605e-12,97.19334591482502,95.97584400054332,4.437361636636636,0.027141165727168848,-1.2580566388853454,-0.3487496077934613,52
