Accuracy,Running Time,Loss,batch,dimensions,early_stopping,epochs,l_rate
0.0016024120850488544,1389.2678968906403,0.0016024120850488544,10,"[80, 40, 20, 10]",10,500,0.0005
0.0014751043636351824,1279.2190039157867,0.0014751043636351824,10,"[96, 48, 24, 12]",10,500,0.0005
0.001365693868137896,1077.0627195835114,0.001365693868137896,10,"[112, 56, 28, 14]",10,500,0.0005
0.001221104757860303,1227.9981565475464,0.001221104757860303,10,"[128, 64, 32, 16]",10,500,0.0005
0.0011272261617705226,1374.851027727127,0.0011272261617705226,10,"[144, 72, 36, 18]",10,500,0.0005
