mse,sqr_percentage,abs_percentage_median,abs_percentage_mean,abs_percentage_std,div_max,div_min,div_avg,n
5.856864903068352e-14,99.57973,96.70835,95.091156,5.9493213,0.00029562414,-0.00015926361,-2.557644620537758e-06,38
9.872264952005168e-13,99.59326,96.745125,95.15479,5.867374,0.00031268597,-0.000159055,-2.425811253488064e-06,39
7.770457577122461e-13,99.603134,96.783905,95.21575,5.7519407,0.00031290203,-0.0001379177,-3.1040329486131667e-06,40
1.9799744043542923e-12,99.61929,96.824844,95.28662,5.686181,0.00027482212,-0.0001581423,-2.342136576771736e-06,41
4.882855629623503e-13,99.6252,96.86328,95.35355,5.5433702,0.0002672933,-0.00015462935,-4.7653866931796075e-06,42
5.041786953959515e-13,99.62745,96.902565,95.42175,5.309472,0.00026081502,-0.00014920533,-4.803640767931938e-06,43
2.391412646441434e-12,99.635635,96.93686,95.48723,5.193529,0.00022992492,-0.00014352798,-4.25923615694046e-06,44
4.048381953470714e-13,99.645424,96.95883,95.54606,5.071998,0.00019402802,-0.00013051927,-2.8480589389801025e-06,45
2.1456550534270928e-13,99.658455,96.99604,95.6133,4.9784093,0.00018905103,-0.00012624264,-2.910606563091278e-06,46
2.1369939469953472e-13,99.66905,97.028885,95.67719,4.8722425,0.00021870434,-0.00012780726,-2.745557576417923e-06,47
2.079755453338301e-12,99.678955,97.069885,95.738464,4.789196,0.00026753545,-0.0001995191,-1.3665296137332916e-06,48
2.289740535410983e-12,99.69019,97.10977,95.80234,4.7190433,0.0002643317,-0.00020172447,-1.6562454402446748e-06,49
2.2590500734210243e-12,99.70004,97.140335,95.866974,4.6264415,0.00028254092,-0.000195615,-1.842547208070755e-06,50
1.6142623501167179e-12,99.71014,97.16828,95.9235,4.5361915,0.0002965182,-0.00021307915,-3.5548582673072814e-07,51
1.702309263290684e-12,99.71801,97.19639,95.977104,4.461251,0.0002618581,-0.00021938235,-1.0334141552448272e-06,52
6.047786459191761e-13,99.72827,97.23107,96.04616,4.3250203,0.00024352968,-0.00023499876,8.176080882549286e-08,53
3.436717960814925e-13,99.741356,97.2885,96.13437,4.208652,0.00036069006,-0.00026806444,-1.9642990082502366e-06,54
1.0922019737889834e-12,99.752014,97.32565,96.19571,4.1153445,0.00037245452,-0.0003374964,-4.449868574738503e-06,55
3.7711120285637865e-12,99.76697,97.35312,96.26387,3.9928212,0.0003682971,-0.00037568808,-7.138373330235482e-06,56
3.184842765814693e-12,99.78048,97.40618,96.348976,3.884387,0.00036174804,-0.00037443638,-7.131481543183327e-06,57
2.5509182747701096e-12,99.78944,97.46953,96.42418,3.812395,0.0004413128,-0.00037182868,-7.230751216411591e-06,58
3.3254505205864676e-12,99.80168,97.53139,96.515625,3.6986716,0.0003377907,-0.00032909214,-8.827634155750275e-06,59
1.3532861954776655e-12,99.81337,97.586876,96.591866,3.6255672,0.00037361681,-0.0003316626,-1.0690269991755486e-05,60
3.5896087403497355e-12,99.82354,97.630066,96.66503,3.5391133,0.00036665052,-0.00031721592,-8.922051638364791e-06,61
3.644286391244389e-12,99.831764,97.67882,96.73563,3.451008,0.00035260618,-0.00033138692,-8.971672505140305e-06,62
1.828801049870838e-13,99.838326,97.72452,96.80767,3.3631828,0.00034993887,-0.00037761033,-1.3660453259944915e-05,63
4.739809751493426e-13,99.84803,97.772354,96.87758,3.2812178,0.00035566837,-0.00042916834,-1.4692284166812896e-05,64
2.4242075016989102e-15,99.85584,97.86701,96.97422,3.1980348,0.0002816841,-0.00040870905,-1.3106167316436767e-05,65
1.1315033643101443e-13,99.86418,97.941025,97.06721,3.122105,0.00029967725,-0.00044491887,-1.1490443721413613e-05,66
5.4458256622496e-16,99.869545,98.003296,97.14277,3.0599523,0.00035251677,-0.00046096742,-9.256349876523018e-06,67
5.314206389943713e-16,99.87725,98.095215,97.2451,2.9801567,0.00035780668,-0.0004428476,-8.66158865392208e-06,68
9.449035040170467e-15,99.88256,98.1506,97.315346,2.9182038,0.00038205087,-0.00043462217,-5.4094567894935605e-06,69
4.7852192023744337e-17,99.887215,98.21144,97.38726,2.8553195,0.00036291033,-0.0004092455,-2.648020163178444e-06,70
8.999865918272085e-14,99.89134,98.27037,97.450264,2.8055663,0.0003559217,-0.00039163232,-3.969091922044754e-06,71
8.52502629893145e-14,99.89707,98.336945,97.53009,2.7425358,0.00035168976,-0.000386931,-4.451870918273926e-06,72
6.789761604546289e-14,99.90115,98.3553,97.57961,2.6555402,0.00034998357,-0.00039072335,-4.32663131505251e-06,73
5.575007155763566e-14,99.90349,98.37475,97.62286,2.5858939,0.00036673993,-0.00038380176,-4.045837558805943e-06,74
1.3203046192838352e-14,99.908226,98.39935,97.66927,2.521062,0.0003604889,-0.0003849119,-4.928763955831528e-06,75
6.4922457500967085e-15,99.91346,98.42642,97.72169,2.442817,0.0003453046,-0.0004422292,-4.30460087954998e-06,76
2.8056742015070376e-14,99.91798,98.45526,97.76903,2.3857021,0.00034222007,-0.00044164062,-2.6998203247785567e-06,77
1.7420817864505182e-14,99.92152,98.47922,97.80629,2.339677,0.0003542602,-0.00054073334,-4.054419696331024e-06,78
2.212088630708158e-14,99.92412,98.4959,97.84357,2.2815664,0.00031652302,-0.00052823126,-4.639290273189544e-06,79
1.2229167710540542e-14,99.92612,98.51726,97.873795,2.2523909,0.00036911666,-0.0006687939,-2.7719419449567794e-07,80
5.285724539500542e-15,99.92971,98.53317,97.90391,2.216949,0.00038266182,-0.0006829873,-7.406249642372131e-07,81
4.567756091505214e-15,99.93206,98.56261,97.944374,2.1722887,0.00044846535,-0.0007271245,-1.202663406729698e-06,82
3.074224381947369e-14,99.934875,98.590935,97.98595,2.1255746,0.0004876256,-0.00068087876,-6.543714553117752e-06,83
3.489873150058166e-15,99.937485,98.61823,98.02892,2.074887,0.00047434866,-0.00069173425,-7.861154153943062e-06,84
3.3072673320856712e-15,99.93984,98.63362,98.05241,2.0499685,0.00047771633,-0.0006967038,-7.932567968964577e-06,85
6.857051969942288e-15,99.94221,98.66608,98.091736,2.018359,0.00047867,-0.00068850815,-7.840236648917198e-06,86
5.549698550905724e-15,99.943146,98.68976,98.124756,1.9840606,0.00048048794,-0.00069294125,-7.152375765144825e-06,87
7.286569776322427e-15,99.94488,98.71283,98.150536,1.9629208,0.0004748404,-0.0007343292,-4.536472260951996e-06,88
7.405170065844581e-15,99.9468,98.74004,98.17725,1.9413193,0.00048744678,-0.00076054037,-3.7119537591934203e-06,89
1.5916393054919823e-14,99.94801,98.75892,98.20875,1.9026296,0.00048434734,-0.0007815957,-6.13577663898468e-06,90
1.3841759067492604e-14,99.94927,98.78394,98.23919,1.8772703,0.000468418,-0.0008137375,-8.068419992923736e-06,91
4.706020733116658e-15,99.95043,98.80394,98.26391,1.8576281,0.0005296767,-0.00070668757,-1.499663107097149e-05,92
8.824611922163243e-15,99.951805,98.82524,98.2905,1.8280785,0.0005990565,-0.0009061247,-1.8797507509589194e-05,93
1.1233881017610526e-14,99.95297,98.84534,98.318825,1.8037621,0.00059482455,-0.00091216713,-1.8969122320413588e-05,94
1.410283030533705e-14,99.953804,98.85864,98.33867,1.7868873,0.0006106496,-0.001020357,-2.0014280453324316e-05,95
1.3786343636293609e-14,99.954956,98.87666,98.359276,1.7703934,0.00061403215,-0.001003474,-1.9863881170749665e-05,96
7.387716257404848e-15,99.956085,98.8914,98.38014,1.7501084,0.0006598085,-0.0011025816,-2.2050021216273307e-05,97
5.400682955269382e-15,99.95773,98.910835,98.403656,1.7257398,0.00064854324,-0.0010914057,-2.285681664943695e-05,98
3.8402972129005353e-16,99.95883,98.92615,98.42267,1.7101955,0.0006623864,-0.0011548772,-1.924595795571804e-05,99
1.9732354908195126e-16,99.95978,98.94162,98.44214,1.6919315,0.00064879656,-0.0010483116,-2.3154206573963165e-05,100
4.104982878612093e-17,99.96056,98.95129,98.45799,1.6797789,0.00062040985,-0.0010960475,-2.483254298567772e-05,101
3.131218045886137e-17,99.96154,98.9652,98.478516,1.6614054,0.00059881806,-0.0010735616,-2.7412492781877516e-05,102
6.348873444150147e-21,99.96264,98.975815,98.49233,1.6501715,0.00063690543,-0.00092276186,-3.0353832989931107e-05,103
8.212151884386633e-17,99.96351,98.98893,98.508545,1.6403747,0.0006354451,-0.0009261668,-3.0176835134625436e-05,104
2.559893948725506e-17,99.96385,99.00124,98.52369,1.6366081,0.0006352514,-0.0009729117,-2.93671153485775e-05,105
3.3584568073335045e-17,99.96467,99.01612,98.54153,1.6232584,0.0006481856,-0.0010127649,-3.081238828599453e-05,106
1.848929728152994e-16,99.9665,99.03625,98.5664,1.6030216,0.00074756145,-0.0010723323,-2.9632626101374627e-05,107
