Accuracy,Running Time,Loss,batch,dimensions,early_stopping,epochs,l_rate
0.0011667398503050208,584.3785803318024,0.0011667398503050208,10,"[288, 144, 72, 36]",10,500,0.0005
0.0005454086931422353,1101.8986053466797,0.0005454086931422353,10,"[320, 160, 80, 40]",10,500,0.0005
0.0004914376186206937,1188.6750242710114,0.0004914376186206937,10,"[352, 176, 88, 44]",10,500,0.0005
0.00040509356767870486,1769.869315624237,0.00040509356767870486,10,"[384, 192, 96, 48]",10,500,0.0005
0.0007156611536629498,742.335156917572,0.0007156611536629498,10,"[416, 208, 104, 52]",10,500,0.0005
0.0003469263028819114,1442.0646607875824,0.0003469263028819114,10,"[448, 224, 112, 56]",10,500,0.0005
0.000558981264475733,841.425740480423,0.000558981264475733,10,"[480, 240, 120, 60]",10,500,0.0005
