mse,sqr_percentage,abs_percentage_median,abs_percentage_mean,abs_percentage_std,div_max,div_min,div_avg,n
5.302104804221071e-39,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.377691289366958e-38,51996002.79930144,6.7497234905296075,-221.05770047443147,72107.339716545,1.4113710200547303e-14,-1.1057127435876168e-14,7.856629194709348e-16,1
7.338553362243697e-43,144404270.6777424,29.59022151399654,-230.72782423412107,120167.72899343842,1.62231339473351e-14,-1.6368850719317152e-14,8.111039930944814e-16,2
1.1854999982056319e-36,791281983.106609,55.854813492171104,-360.9785191487737,281296.99588913564,4.84300100023205e-14,-4.3222370127438126e-14,3.77969736672229e-15,3
1.2603306764489286e-36,413719230.1989442,69.33682413905223,-305.03440856637883,203400.52013486408,5.694056337546272e-14,-5.469930064450068e-14,1.6779180282854177e-15,4
5.507733044533978e-36,585201074.7710861,70.3152863115668,-317.4143658215571,241908.97469896855,7.183836858715154e-14,-5.0431880893597736e-14,7.631223488772468e-15,5
7.379383149647585e-36,885715285.7592368,70.96589406242913,-341.87411082461176,297609.4057994495,3.2596148002994596e-13,-2.7439162053610744e-13,1.4709332565634078e-14,6
6.764718862826222e-36,138598324.77341992,71.56526623527301,-227.56709795284678,117727.34337800038,3.498867862106181e-13,-2.8543833963112775e-13,1.6327454193834944e-14,7
7.34712994102464e-36,117111332.68132463,72.25913037395752,-212.45940166449347,108217.54108356602,4.152789223610398e-13,-3.470002063465927e-13,1.4907494124169783e-14,8
1.060070579607298e-35,112595984.36504033,73.54349792038214,-202.3931999149176,106110.82892510609,4.172773238053651e-13,-3.498867862106181e-13,1.4918733204823583e-14,9
8.466767751662785e-36,255907332.1647172,74.258382618208,-233.43168950364245,159970.71807538846,4.193867475521529e-13,-3.5138558729386205e-13,1.4712928502839487e-14,10
1.2479251329907172e-35,199127541.7852026,75.38008676059752,-215.0729825186484,141112.23187377385,3.763933609235437e-13,-4.264921749097539e-13,1.2206689652127789e-14,11
9.56334497785576e-36,1472019779.4929385,75.73358622485785,-339.75036587569576,383668.8910409511,3.823608096809039e-13,-4.287126209590042e-13,1.1304726445072867e-14,12
1.0312618041369721e-35,2243099672.3602233,76.16721332809828,-362.2921995136033,473613.5478420368,4.186373470105309e-13,-4.611311332780588e-13,1.0413394683587521e-14,13
7.42424783135427e-36,2222615876.4050384,76.47604600773634,-360.624808049268,471446.08840496995,4.879083248532368e-13,-5.131450819817474e-13,1.4840621979773772e-14,14
7.369786979208742e-36,1612384211.5794373,76.69073754649108,-329.5197603589013,401544.855981145,5.274669589994119e-13,-5.975775430044905e-13,1.5814359852514867e-14,15
7.904439305383805e-36,1193006316.6061604,76.90710845024532,-297.57824705272594,345399.0476977784,5.55056001161347e-13,-6.870615187892781e-13,1.4355751348474025e-14,16
5.234520809825115e-36,1038439034.2861924,77.09143107785593,-289.8195784869685,322248.0087564505,5.605238495576259e-13,-6.858680290378061e-13,1.518059405033097e-14,17
5.206140193077517e-36,1128616448.7840192,77.30162106801129,-291.72377714334107,335948.68555801245,5.507261313653089e-13,-7.071843111106091e-13,1.579954627776529e-14,18
5.967539241370968e-36,1066536381.4498452,77.47605131352975,-286.6774246284595,326578.4990915143,5.177525075339418e-13,-7.314981953499e-13,1.635315291746246e-14,19
6.565678031939597e-36,1352194062.897212,77.93440609472879,-302.6070453522312,367721.7357756786,5.243444567426536e-13,-7.106537580625627e-13,1.651238077598421e-14,20
6.592869909107541e-36,1166787716.061014,78.22892951270106,-278.06095738469946,341582.5731010259,5.704881012036367e-13,-7.464862061823396e-13,1.6624702193583177e-14,21
4.797190730032244e-36,1533946348.2974677,78.47594377454047,-302.68766320250955,391656.104783161,5.619116283384074e-13,-7.390754674929667e-13,1.70138474104051e-14,22
4.234715729295173e-36,1421829742.722372,78.71604173026523,-298.66244149792243,377071.40720502514,5.682676551543864e-13,-7.400191570638981e-13,1.713375197893225e-14,23
4.319755619512191e-36,1227286259.2068744,79.08409657844433,-279.813081210391,350326.2894903468,5.653255641391297e-13,-7.424616477180734e-13,1.709932639155149e-14,24
4.3628162526060186e-36,1095033872.1253638,79.28936600883674,-257.5607578203509,330912.8030940651,5.318800955222969e-13,-7.328859741306815e-13,1.7164112530967638e-14,25
4.31397102775738e-36,1045909506.8348165,79.44852223255728,-251.80938987312774,323405.08477272326,5.473399511402022e-13,-7.417400027520671e-13,1.7320810102552623e-14,26
