mse,abs_percentage,abs_std,sqr_percentage,sqr_std,div_max,div_min,div_avg,batch,dimensions,early_stopping,epochs,l_rate
0.014084471389651299,78.14388871192932,9.8830595,96.56541347503662,2.6635363,-0.2464391,-0.56884533,-0.41203797,10,"[8, 4, 2, 1]",10,200,0.0005
0.006642630323767662,86.37705445289612,5.9957623,98.4889268875122,1.3089948,0.1918326,-1.05581,-0.48494035,10,"[16, 8, 4, 2]",10,200,0.0005
0.004030613694339991,89.73011374473572,5.178055,99.04648661613464,1.1660352,0.64717364,-1.756572,-0.6655252,10,"[24, 12, 6, 3]",10,200,0.0005
0.002850931603461504,91.80986285209656,5.3156033,99.30822849273682,1.119509,-0.003384471,-1.1764033,-0.5723534,10,"[32, 16, 8, 4]",10,200,0.0005
0.002601778134703636,92.27244853973389,5.138504,99.37360286712646,1.0226332,0.57963455,-1.8701024,-0.34559318,10,"[40, 20, 10, 5]",10,200,0.0005
0.0024085587356239557,92.62179136276245,4.8530774,99.42566752433777,0.9241285,0.5033699,-1.4887686,-0.307529,10,"[48, 24, 12, 6]",10,200,0.0005
0.0023613874800503254,92.66858696937561,4.6804457,99.43721294403076,0.9043773,0.34604883,-1.7085123,-0.38647008,10,"[56, 28, 14, 7]",10,200,0.0005
0.0020908620208501816,93.20047497749329,4.5547304,99.5021402835846,0.83922756,0.7834789,-1.2122307,-0.37562138,10,"[64, 32, 16, 8]",10,200,0.0005
